model,accuracy_mean,accuracy_std,f1_macro_mean,balanced_accuracy
Logistic Regression,0.9018260232930319,0.1050115077832913,0.8825822730594991,0.8985127569058852
Random Forest,0.9132857382783859,0.10067168914776647,0.8983021720206017,0.90282495044455
XGBoost,0.9025112501213267,0.11842527517884838,0.873121621157624,0.885211030869278
LightGBM,0.8935700023056233,0.11446973551180127,0.8599324552875776,0.8714427301285543
