model,accuracy_mean,accuracy_std,f1_macro_mean,balanced_accuracy
Logistic Regression,0.6472752383830286,0.1586165827510636,0.5877460338766464,0.6389924556051464
Random Forest,0.6292914234198878,0.2084999482854779,0.5192536625715287,0.5582643821627357
XGBoost,0.6273998610958654,0.20869545065860534,0.5445695531644538,0.5754558604767341
LightGBM,0.6504774029924877,0.20657884294305104,0.5658340547523312,0.6047803908742636
1D-CNN,0.5446766025835771,0.008186225645613587,0.23506555344683527,0.3333333333333333
