subset,n_features,accuracy_mean,accuracy_std,f1_macro_mean
All features,58,0.9132857382783859,0.10067168914776647,0.8983021720206017
No motion (HRV+EDA+TEMP+RESP),53,0.9010784915742407,0.12477119172919283,0.8902200515248017
Autonomic (HRV+EDA),45,0.8896425448986681,0.1296709506848814,0.8772234226146852
HRV only,30,0.8098888705356447,0.16079183001477346,0.775126908397853
EDA only,15,0.8280149288265276,0.12782423308970434,0.8029723389993931
Motion only (ACC),5,0.884758068444891,0.08062524030364775,0.870252363040202
